outer_repeat,best_C,accuracy,precision,recall,f1,tp,tn,fp,fn,auc
1,10.0,0.6226905672641816,0.6331122948146538,0.5826913456728364,0.6068563092633114,11648,13259,6750,8342,0.6473513307205857
2,10.0,0.6167404185104628,0.6254982225573629,0.5809404702351175,0.6023965141612201,11613,13056,6953,8377,0.6428482195518265
3,1.0,0.6246406160154003,0.6321155480033984,0.5954977488744372,0.6132605223842151,11904,13081,6928,8086,0.6477482556561415
4,10.0,0.6175404385109627,0.6281967213114754,0.575087543771886,0.6004700966309742,11496,13205,6804,8494,0.6452784191085978
5,10.0,0.6231655791394785,0.6303068850373669,0.5948974487243622,0.6120904856267855,11892,13034,6975,8098,0.6462364447254376
6,1.0,0.6281657041426035,0.6366501094910004,0.5962981490745373,0.6158138093147004,11920,13206,6803,8070,0.6510200124801262
7,10.0,0.6208905222630565,0.6298289034757344,0.5855927963981991,0.6069058481957693,11706,13129,6880,8284,0.6478753420390488
8,10.0,0.6254406360159004,0.6300373909430826,0.6069034517258629,0.618254089588748,12132,12885,7124,7858,0.6490347227689544
9,1.0,0.6230905772644316,0.6333297156500977,0.5838419209604803,0.6075797803113123,11671,13252,6757,8319,0.6479474781620961
10,0.1,0.6208405210130253,0.6307175373943203,0.5821910955477739,0.6054835856615159,11638,13195,6814,8352,0.6487680693762798
