C,mean_validation_f1,std_validation_f1,outer_repeat
0.1,0.8512171768554869,0.000651183437763587,1
1.0,0.8516905435770327,0.00047715072571752413,1
10.0,0.8519016866596619,0.0005629079294214053,1
0.1,0.8510004225151929,0.001079814106854517,2
1.0,0.851325392530801,0.0011647695560805344,2
10.0,0.8513523563368958,0.0011160296901753383,2
0.1,0.8522623689573017,0.002305805546834706,3
1.0,0.8528343121877168,0.0023963213611025167,3
10.0,0.8527245129748269,0.002410194284903599,3
0.1,0.8532164195150558,0.0010194703282013818,4
1.0,0.8536181356307897,0.0008517995994596426,4
10.0,0.8536391626838279,0.0009109972296391242,4
0.1,0.8515056398354237,0.0011615357416136399,5
1.0,0.8522316437924622,0.0015388650753206579,5
10.0,0.8523537773168317,0.0015374034208086574,5
0.1,0.8539745459871694,0.0011054855476965882,6
1.0,0.8543156836246405,0.0009990894953520355,6
10.0,0.8542501422079395,0.000982728893973571,6
0.1,0.8505135917984133,0.0009070667470469281,7
1.0,0.8508346167747746,0.0007827594038755639,7
10.0,0.8508616530639289,0.000932276726426013,7
0.1,0.850589830445943,0.002182182581825493,8
1.0,0.8513735777992187,0.0021209107987784177,8
10.0,0.8513918705221123,0.0021350779485988553,8
0.1,0.8508643528481836,0.0012510346512503935,9
1.0,0.8513679634742926,0.0010766390741511536,9
10.0,0.8513410365634613,0.00103864304076297,9
0.1,0.8508331337445102,0.0016236178925420712,10
1.0,0.8506138962823426,0.0015384031910954073,10
10.0,0.8506174334607621,0.0015075427004151278,10
