repeat,best_lr,best_weight_decay,batch_size,best_mean_val_f1,accuracy,precision,recall,f1,auc,tp,tn,fp,fn
1,0.0001,1e-05,1024,0.8524094519726826,0.6443644364436444,0.6337975858867224,0.6830098058835301,0.657484107108457,0.6601022988843278,3413,3030,1972,1584
2,0.0005,1e-05,1024,0.855173038401786,0.6186618661866187,0.6357798165137615,0.5547328397038223,0.5924975953831356,0.6361517430250222,2772,3414,1588,2225
3,0.0001,1e-05,1024,0.8486376763187282,0.6466646664666467,0.6349557522123894,0.6892135281168701,0.6609730352173496,0.6674829767912703,3444,3022,1980,1553
4,5e-05,1e-05,1024,0.8552484091102488,0.635963596359636,0.6347567030784509,0.6395837502501501,0.6371610845295057,0.6600389261945808,3196,3163,1839,1801
5,5e-05,1e-05,1024,0.850269760172416,0.621962196219622,0.6505070492208755,0.5263157894736842,0.581858407079646,0.6481397034942306,2630,3589,1413,2367
6,0.0001,1e-05,1024,0.8499588187537149,0.638963896389639,0.6326764874689115,0.6617970782469482,0.6469092331768389,0.6530922151851715,3307,3082,1920,1690
7,5e-05,1e-05,1024,0.8438222957725294,0.6337633763376338,0.6302439024390244,0.6463878326996197,0.6382137917407626,0.6549543880666667,3230,3107,1895,1767
8,0.0001,1e-05,1024,0.8503556017743953,0.6340634063406341,0.6470329670329671,0.5891534920952571,0.6167382423798051,0.6537339436848821,2944,3396,1606,2053
9,0.0001,1e-05,1024,0.8509595991619952,0.6327632763276327,0.6578508458422683,0.5525315189113468,0.6006090928866652,0.6559719118156236,2761,3566,1436,2236
10,0.0005,1e-05,1024,0.852168433876376,0.6375637563756376,0.64070506251281,0.6255753452071243,0.6330498177399757,0.652617560140244,3126,3249,1753,1871
