outer_repeat,lr,weight_decay,mean_validation_f1,std_validation_f1
1,5e-05,1e-05,0.8457699615702546,0.012318194523388377
1,0.0001,1e-05,0.8524094519726826,0.0058572524031390875
1,0.0005,1e-05,0.8520173535052998,0.004944622248038039
2,5e-05,1e-05,0.8547429881607679,0.001958887863495298
2,0.0001,1e-05,0.8529943891383657,0.006465591803323426
2,0.0005,1e-05,0.855173038401786,0.0024058794968960587
3,5e-05,1e-05,0.8482343323080849,0.004799541132407043
3,0.0001,1e-05,0.8486376763187282,0.006229424842092587
3,0.0005,1e-05,0.8399277384938971,0.014458704518832948
4,5e-05,1e-05,0.8552484091102488,0.004915951813941907
4,0.0001,1e-05,0.8505798772391863,0.01516512032256624
4,0.0005,1e-05,0.8446188289736406,0.02133309322126645
5,5e-05,1e-05,0.850269760172416,0.006292801994756706
5,0.0001,1e-05,0.8492405500534969,0.007315650916059263
5,0.0005,1e-05,0.8471611707987464,0.008349647805325022
6,5e-05,1e-05,0.8461662718031432,0.004092851327139447
6,0.0001,1e-05,0.8499588187537149,0.0021003743522536224
6,0.0005,1e-05,0.8427930478991336,0.010751057304899092
7,5e-05,1e-05,0.8438222957725294,0.009218609596322572
7,0.0001,1e-05,0.8432996097093679,0.013616663403594334
7,0.0005,1e-05,0.841134468224348,0.0015348812724257667
8,5e-05,1e-05,0.8427537444675495,0.00371574478456675
8,0.0001,1e-05,0.8503556017743953,0.005210671992786415
8,0.0005,1e-05,0.8491015677959575,0.0006700272562555752
9,5e-05,1e-05,0.8429452374708827,0.008523290885185922
9,0.0001,1e-05,0.8509595991619952,0.007126559891143744
9,0.0005,1e-05,0.8356675391862658,0.018841425210968724
10,5e-05,1e-05,0.851295861991591,0.007097239757648067
10,0.0001,1e-05,0.8521162532046104,0.0029022519898967976
10,0.0005,1e-05,0.852168433876376,0.0020490175219066704
