outer_repeat,best_alpha,accuracy,precision,recall,f1,tp,tn,fp,fn,auc
1,0.001,0.6347658691467287,0.6387499355371048,0.6196098049024512,0.6290343058835479,12386,13004,7005,7604,0.6691368073961536
2,0.001,0.6321908047701192,0.636213481986167,0.616608304152076,0.6262574941570979,12326,12961,7048,7664,0.6669459473602126
3,0.001,0.6296907422685567,0.6345773988980143,0.6107053526763382,0.622412562455389,12208,12979,7030,7782,0.6633949090093101
4,0.001,0.6237405935148379,0.6307431717128944,0.5960980490245122,0.6129314335682321,11916,13033,6976,8074,0.6617423860113395
5,0.001,0.6253156328908223,0.6308384329724358,0.6033516758379189,0.6167889744048684,12061,12951,7058,7929,0.6567536254508306
6,0.001,0.6386909672741818,0.6426437255305997,0.6240620310155077,0.6332165879904573,12475,13072,6937,7515,0.6727661171782361
7,0.001,0.6281907047676192,0.6319344194679315,0.6131565782891446,0.6224038998628955,12257,12870,7139,7733,0.6596386578515857
8,0.0001,0.6200155003875096,0.6214448669201521,0.6132066033016508,0.6172982500314742,12258,12542,7467,7732,0.6484732645697112
9,0.001,0.6360659016475412,0.6379424160869345,0.6284642321160581,0.6331678552528791,12563,12879,7130,7427,0.6676188361560491
10,0.001,0.6329658241456037,0.6387248497517638,0.6114057028514257,0.6247667731629394,12222,13096,6913,7768,0.6692207791136343
