alpha,mean_validation_f1,std_validation_f1,outer_repeat
1e-05,0.8329212584534869,0.017103476519362826,1
0.0001,0.8440817674528877,0.0036078133817540304,1
0.001,0.8510958652858355,0.003119251128132331,1
1e-05,0.8342287626338659,0.0060123191610976364,2
0.0001,0.8458712402957191,0.002265444292546473,2
0.001,0.8474646224174242,0.004214610361773829,2
1e-05,0.8395492268972965,0.007340650452654077,3
0.0001,0.8477977395060526,0.00594985959213578,3
0.001,0.8494105013984958,0.002363814163914593,3
1e-05,0.8396023968297235,0.0030901117488342637,4
0.0001,0.8520652887530594,0.002459383559650288,4
0.001,0.8532117836622642,0.0013476655447161204,4
1e-05,0.8370782521692676,0.006547003666176834,5
0.0001,0.8439712041958319,0.009949961499011539,5
0.001,0.8497631675093681,0.001233427156675405,5
1e-05,0.8420138748379026,0.007171924515953101,6
0.0001,0.8504892287588488,0.0038513550934870474,6
0.001,0.8518584295446328,0.002711871029606167,6
1e-05,0.8420798618024068,0.004875113973717505,7
0.0001,0.8509954264684857,0.003132797711877616,7
0.001,0.8539468938617493,0.0015704716942434472,7
1e-05,0.8341621653903591,0.010453003367188577,8
0.0001,0.8483936576143521,0.0008995986307847565,8
0.001,0.8481147779594461,0.0033588126465753172,8
1e-05,0.8378589721592758,0.0027172302721508506,9
0.0001,0.8479275436506732,0.002547834112672754,9
0.001,0.8515495332862676,0.0004317592032449589,9
1e-05,0.8333231759571907,0.0027759702325150177,10
0.0001,0.8455198896488221,0.0025560831821419263,10
0.001,0.8500127349583737,0.0022711443190489584,10
