outer_repeat,best_C,accuracy,precision,recall,f1,tp,tn,fp,fn,auc
1,10.0,0.6342158553963849,0.6363960295240519,0.6254127063531766,0.6308565661662672,12502,12866,7143,7488,0.6668296215177397
2,0.1,0.6315657891447286,0.6322440964704698,0.6281640820410205,0.6301974856339866,12557,12705,7304,7433,0.6628505841705881
3,0.1,0.634940873521838,0.6348483331664831,0.6344672336168085,0.6346577261809448,12683,12714,7295,7307,0.6665709460257644
4,0.1,0.6310407760194005,0.6340850845720144,0.6188594297148574,0.6263797468354431,12371,12870,7139,7619,0.6650123077431567
5,0.1,0.6330908272706818,0.634941594718131,0.6254127063531766,0.630141129032258,12502,12821,7188,7488,0.6653231858570123
6,0.1,0.6394909872746819,0.6397811684400723,0.6376688344172086,0.6387232549982462,12747,12832,7177,7243,0.6702934404880462
7,0.1,0.6342158553963849,0.6347498114156399,0.631415707853927,0.6330783699059561,12622,12746,7263,7368,0.6671225012276285
8,0.1,0.6331158278956974,0.6336434498365602,0.6303151575787894,0.6319749216300939,12600,12724,7285,7390,0.6667641482293449
9,0.1,0.6369909247731194,0.6382709807886754,0.6315657828914457,0.6349006789036963,12625,12854,7155,7365,0.667497007537196
10,0.1,0.6349658741468537,0.6359965679099581,0.6303651825912957,0.63316835414416,12601,12797,7212,7389,0.6695369924954525
