C,mean_validation_f1,std_validation_f1,outer_repeat
0.1,0.8459877919552726,0.0006563406162874378,1
1.0,0.8459860230445523,0.0003806432248544622,1
10.0,0.8460037056035876,0.00037007270851079305,1
0.1,0.8479118528247547,0.00116586624331792,2
1.0,0.8478927290251438,0.0011267848075984278,2
10.0,0.8478984394982834,0.0011335911970214079,2
0.1,0.8483136091713477,0.002488974346945212,3
1.0,0.848234814610906,0.00263187013554908,3
10.0,0.8482074753612738,0.002564480922223396,3
0.1,0.8493010487434769,0.0009288110084068615,4
1.0,0.8492334550312634,0.0010161420243602263,4
10.0,0.8492334827800803,0.0010422213214367282,4
0.1,0.8480921606061921,0.0016281685231345066,5
1.0,0.8480374735320958,0.0016868575763220575,5
10.0,0.8480672473349319,0.0017174518689330202,5
0.1,0.8500429264932557,0.0005022975232938367,6
1.0,0.849937851449357,0.00040448099171025453,6
10.0,0.8499556422573064,0.0004339400312530753,6
0.1,0.8471857808122091,0.001817165861383001,7
1.0,0.8470618418243467,0.0017800047480755797,7
10.0,0.8470739078767587,0.0017600450953402084,7
0.1,0.8467708414507569,0.0020491096382794964,8
1.0,0.8465667628231928,0.0019840754733690394,8
10.0,0.8465546345830154,0.002016305976328134,8
0.1,0.8465540948064252,0.0012682020042347531,9
1.0,0.8465000603229816,0.001282667860513028,9
10.0,0.8465209831056543,0.0013190220200112567,9
0.1,0.847086200959497,0.0013091918751257903,10
1.0,0.8469919556349694,0.0011721160241877102,10
10.0,0.8469888697766681,0.001230195470144623,10
