repeat,best_lr,best_weight_decay,batch_size,best_mean_val_f1,accuracy,precision,recall,f1,auc,tp,tn,fp,fn
1,0.0001,1e-05,1024,0.8498390852887227,0.6187618761876188,0.6495834385256248,0.5149089453672203,0.5744585845054699,0.6439395824619926,2573,3614,1388,2424
2,0.0005,1e-05,1024,0.857933232925653,0.6080608060806081,0.6449704142011834,0.4798879327596558,0.5503155479059093,0.63848004924506,2398,3682,1320,2599
3,0.0001,1e-05,1024,0.8489716331146099,0.636963696369637,0.67440673641235,0.5289173504102461,0.5928667563930013,0.6611623111411817,2643,3726,1276,2354
4,0.0001,1e-05,1024,0.8563325098315709,0.6363636363636364,0.6507866164413916,0.5877526515909546,0.6176656151419558,0.6537760721206808,2937,3426,1576,2060
5,0.0005,1e-05,1024,0.8536209046057052,0.6068606860686069,0.6385135135135135,0.4916950170102061,0.5555681175805539,0.6402696075862215,2457,3611,1391,2540
6,0.0005,1e-05,1024,0.8500709898201961,0.5963596359635963,0.6432190760059613,0.4318591154692816,0.5167624521072798,0.601930290521373,2158,3805,1197,2839
7,0.0001,1e-05,1024,0.8473684254216196,0.6273627362736274,0.6363441321604806,0.5935561336802081,0.6142058397183681,0.6448448437315089,2966,3307,1695,2031
8,5e-05,1e-05,1024,0.8503342101188921,0.6156615661566157,0.639844886088221,0.5283169901941165,0.5787569878329497,0.6451142576789564,2640,3516,1486,2357
9,0.0001,1e-05,1024,0.8528690524667524,0.6302630263026303,0.6538097491717937,0.5529317590554332,0.599154288192562,0.65206436936932,2763,3539,1463,2234
10,0.0001,1e-05,1024,0.8560334930216404,0.637063706370637,0.6581868640148011,0.569541725035021,0.6106640918356399,0.6554622897689069,2846,3524,1478,2151
