outer_repeat,lr,weight_decay,mean_validation_f1,std_validation_f1
1,5e-05,1e-05,0.8475901681053135,0.0018666667081934174
1,0.0001,1e-05,0.8498390852887227,0.00293877711218707
1,0.0005,1e-05,0.8497896809989771,0.006592594334600082
2,5e-05,1e-05,0.850374241243587,0.004220952096111201
2,0.0001,1e-05,0.8516987957714598,0.003125886711926509
2,0.0005,1e-05,0.857933232925653,0.0018931699392625344
3,5e-05,1e-05,0.8477871134061671,0.0036658869535476676
3,0.0001,1e-05,0.8489716331146099,0.006514278239221726
3,0.0005,1e-05,0.8373993616386023,0.024742294226773938
4,5e-05,1e-05,0.8530180502728854,0.00668674908810323
4,0.0001,1e-05,0.8563325098315709,0.005293385951071114
4,0.0005,1e-05,0.8556942397105326,0.008383877576488898
5,5e-05,1e-05,0.8465459776311287,0.0055420214585032625
5,0.0001,1e-05,0.8534615859390408,0.005529030891422059
5,0.0005,1e-05,0.8536209046057052,0.005140269194393102
6,5e-05,1e-05,0.847938042789882,0.0032929549924112576
6,0.0001,1e-05,0.8481714069434309,0.003297146315698083
6,0.0005,1e-05,0.8500709898201961,0.0018515454661202843
7,5e-05,1e-05,0.8443569272749868,0.012610837856808499
7,0.0001,1e-05,0.8473684254216196,0.009155623403274266
7,0.0005,1e-05,0.840005361226114,0.018281570673666342
8,5e-05,1e-05,0.8503342101188921,0.004773393658770536
8,0.0001,1e-05,0.8478691831724348,0.0046884833385344655
8,0.0005,1e-05,0.8496670986227469,0.007916339398606753
9,5e-05,1e-05,0.8524753804330126,0.007675167140281241
9,0.0001,1e-05,0.8528690524667524,0.009640148835333293
9,0.0005,1e-05,0.8518412889136027,0.006969258838898137
10,5e-05,1e-05,0.8522288636466667,0.0057510984353115165
10,0.0001,1e-05,0.8560334930216404,0.003162558181335056
10,0.0005,1e-05,0.8551416492991367,0.005011922440674644
