outer_repeat,best_alpha,accuracy,precision,recall,f1,tp,tn,fp,fn,auc
1,0.001,0.6351658791469786,0.6395944338109771,0.6185092546273137,0.6288751557691818,12364,13042,6967,7626,0.6757337337267842
2,0.001,0.6337408435210881,0.635974740272968,0.6247123561780891,0.6302932418109322,12488,12861,7148,7502,0.6740084895763866
3,0.001,0.6385659641491037,0.6380971397194629,0.6394697348674337,0.6387826999475302,12783,12759,7250,7207,0.6781922672066211
4,0.001,0.6351158778969475,0.6381986782109739,0.6231615807903952,0.6305904983674606,12457,12947,7062,7533,0.6798251692191296
5,0.0001,0.6326658166454161,0.6354939376886479,0.6214107053526763,0.6283734223638617,12422,12884,7125,7568,0.6687831421333107
6,0.001,0.64121603040076,0.6439328194394813,0.6310155077538769,0.6374087268500972,12614,13034,6975,7376,0.6813579062008405
7,0.001,0.6366409160229006,0.6374861405100293,0.6327663831915958,0.6351174934725848,12649,12816,7193,7341,0.6785486876078337
8,0.001,0.6351908797719943,0.6357509304898904,0.6323161580790395,0.6340288924558589,12640,12767,7242,7350,0.673762154704214
9,0.001,0.6389409735243381,0.6402852230201275,0.6333666833416708,0.6368071622573183,12661,12896,7113,7329,0.6777487174293293
10,0.001,0.6380409510237756,0.6397565922920893,0.6311155577788894,0.6354066985645933,12616,12905,7104,7374,0.679632197027086
