alpha,mean_validation_f1,std_validation_f1,outer_repeat
1e-05,0.8462955783134399,0.001738352540372383,1
0.0001,0.8483275769378591,0.004388929516493365,1
0.001,0.8496755883173158,0.0029169308962790456,1
1e-05,0.8457589515778495,0.0023035851372476125,2
0.0001,0.8478130231617064,0.0027842765645404734,2
0.001,0.8487478588148968,0.002266886877340832,2
1e-05,0.845332838917849,0.00224540941465555,3
0.0001,0.8483808733248189,0.0036853318489148534,3
0.001,0.8504188212017043,0.0014056522262435795,3
1e-05,0.8445660602038326,0.007832572038282547,4
0.0001,0.8495941548469261,0.005234997564821589,4
0.001,0.8514355833125299,0.0018290014055152466,4
1e-05,0.8375446854884671,0.004708307699699225,5
0.0001,0.8477487436506509,0.004835244060267994,5
0.001,0.8476473496092667,0.0035648851201335588,5
1e-05,0.8472720503540012,0.0057681760436114685,6
0.0001,0.8486733725215435,0.003803286393535455,6
0.001,0.850713348045872,0.001026256761492556,6
1e-05,0.8426886562654287,0.0032029676334800463,7
0.0001,0.852130572691257,0.002192599510934461,7
0.001,0.8526991755861838,0.0020347158386272764,7
1e-05,0.8432047372211361,0.0061480992602907115,8
0.0001,0.8450615024918214,0.001098865634810472,8
0.001,0.8484321503088007,0.0027042436850144382,8
1e-05,0.8500645274237986,0.002344751832245036,9
0.0001,0.8489065958738591,0.0028642356424787175,9
0.001,0.8509289845807317,0.0012968514411223534,9
1e-05,0.8412162715590322,0.005117644999314279,10
0.0001,0.8463910541076408,0.002099470374673609,10
0.001,0.848458713744309,0.002099754654740966,10
