outer_repeat,best_C,accuracy,precision,recall,f1,tp,tn,fp,fn,auc
1,10.0,0.6381409535238382,0.6484711455641688,0.6026013006503251,0.6246953274905357,12046,13479,6530,7944,0.673944661370613
2,10.0,0.6357158928973224,0.6417918258412266,0.6135067533766884,0.6273306222665541,12264,13164,6845,7726,0.6708515260178916
3,10.0,0.636540913522838,0.6437915391918979,0.6105552776388194,0.6267330800041081,12205,13256,6753,7785,0.6731094669229764
4,10.0,0.6338658466461662,0.6451735564126243,0.5941470735367684,0.6186098596317612,11877,13477,6532,8113,0.6721836429234724
5,1.0,0.634615865396635,0.6431577265221329,0.6040020010005003,0.6229651987720249,12074,13310,6699,7916,0.6719378880804266
6,1.0,0.639815995399885,0.6477374966922467,0.6122561280640321,0.6294972354378295,12239,13353,6656,7751,0.6768129229290556
7,1.0,0.6404660116502913,0.6467325903835086,0.6183591795897949,0.6322277063140935,12361,13257,6752,7629,0.6774116454998999
8,10.0,0.6361409035225881,0.6423632935260842,0.6135067533766884,0.627603500332634,12264,13181,6828,7726,0.6733670073579424
9,1.0,0.6387409685242131,0.6462050036947112,0.612456228114057,0.6288781590302034,12243,13306,6703,7747,0.6751473942778801
10,10.0,0.6406910172754319,0.647873236470836,0.6156578289144572,0.6313548453290925,12307,13320,6689,7683,0.6761896666260012
