C,mean_validation_f1,std_validation_f1,outer_repeat
0.1,0.9406093863572941,0.0011535509716964544,1
1.0,0.9408606651764297,0.001333410714863727,1
10.0,0.9410030215584069,0.0012754605330538699,1
0.1,0.9409926531317625,0.00018596132947230928,2
1.0,0.9415308189888524,0.00014325123214323614,2
10.0,0.9416743442425625,0.00026218267043907363,2
0.1,0.9408065468907513,0.0002291431893329126,3
1.0,0.9411535400146699,0.0004989669541531475,3
10.0,0.9413115629527594,0.00039055115776585864,3
0.1,0.9415583794581331,0.0011023042865864494,4
1.0,0.9417849894098035,0.0008101079428488396,4
10.0,0.9418057147667883,0.0009883530928246054,4
0.1,0.9435463076648777,0.0004317406902603933,5
1.0,0.943952454087678,0.00045028892147544995,5
10.0,0.9439299665646143,0.0004501847399728834,5
0.1,0.9419198800950924,0.0007534264060712383,6
1.0,0.9421256372328609,0.0006257749857776197,6
10.0,0.9421133224203277,0.0007275780886028279,6
0.1,0.9402916600794474,0.0012854774661634424,7
1.0,0.9407139560283682,0.001311055533077195,7
10.0,0.9407091295985334,0.001245023551113766,7
0.1,0.9418744428099745,0.0011769001730903572,8
1.0,0.9418407502038715,0.0012691357649802413,8
10.0,0.9420348485553136,0.0012891290507570455,8
0.1,0.9420980539785392,0.0019617837697914146,9
1.0,0.942405163404057,0.0019372479440951484,9
10.0,0.9423122104143675,0.0019507079692922707,9
0.1,0.9414140492260206,0.0012292335257198866,10
1.0,0.9416981830991981,0.0011674335166859664,10
10.0,0.9418440338239938,0.001083208695075689,10
