repeat,best_lr,best_weight_decay,batch_size,best_mean_val_f1,accuracy,precision,recall,f1,auc,tp,tn,fp,fn
1,0.0005,1e-05,1024,0.9448798083095244,0.6252625262526252,0.6503849855630414,0.5409245547328397,0.5906260242543429,0.6506425246591353,2703,3549,1453,2294
2,0.0005,1e-05,1024,0.9402930150508002,0.6254625462546255,0.6343347639484979,0.5915549329597759,0.6121984053018537,0.6580744928364424,2956,3298,1704,2041
3,0.0005,1e-05,1024,0.9417731316911278,0.638963896389639,0.6559478299977513,0.5837502501500901,0.6177467174925878,0.6728036021933059,2917,3472,1530,2080
4,0.0005,1e-05,1024,0.9416420056491693,0.6152615261526153,0.6591915836101883,0.47648589153492094,0.5531420606342199,0.6655846766756596,2381,3771,1231,2616
5,0.0005,1e-05,1024,0.9434795342158505,0.6223622362236224,0.6528160200250313,0.5219131478887332,0.5800711743772242,0.6556876148880021,2608,3615,1387,2389
6,0.0005,1e-05,1024,0.9424878470320016,0.6299629962996299,0.6444642459345066,0.5789473684210527,0.6099515074847143,0.6582737327322398,2893,3406,1596,2104
7,0.0005,1e-05,1024,0.9464781730845512,0.6236623662366236,0.6513738959764475,0.5313187912747649,0.5852529483081672,0.6570160809000383,2655,3581,1421,2342
8,0.0005,1e-05,1024,0.9479729295275964,0.6422642264226422,0.6388345717637857,0.6537922753652191,0.6462268816140837,0.6784774583262597,3267,3155,1847,1730
9,0.0005,1e-05,1024,0.9474691297297738,0.6294629462946295,0.6441320838911201,0.5777466479887933,0.609135984808524,0.6675502302581072,2887,3407,1595,2110
10,0.0005,1e-05,1024,0.9391407873174239,0.6434643464346435,0.6527303754266212,0.6123674204522713,0.6319050077439339,0.6748396098834822,3060,3374,1628,1937
