outer_repeat,lr,weight_decay,mean_validation_f1,std_validation_f1
1,5e-05,1e-05,0.8884808872539885,0.03328810433913009
1,0.0001,1e-05,0.9349427154895814,0.008092251371724988
1,0.0005,1e-05,0.9448798083095244,0.006151618011005739
2,5e-05,1e-05,0.8799939253542138,0.003772582378232446
2,0.0001,1e-05,0.9296564210822785,0.014582985464979895
2,0.0005,1e-05,0.9402930150508002,0.007575417076600946
3,5e-05,1e-05,0.864258023924123,0.007881439072121918
3,0.0001,1e-05,0.9346316410021407,0.010432232891922303
3,0.0005,1e-05,0.9417731316911278,0.0024864673559132034
4,5e-05,1e-05,0.8889721840964523,0.005236892889614684
4,0.0001,1e-05,0.9171306898035226,0.020105991118074023
4,0.0005,1e-05,0.9416420056491693,0.011800396372013008
5,5e-05,1e-05,0.8793905518128368,0.016673042821786176
5,0.0001,1e-05,0.9243779654812991,0.006337730874564999
5,0.0005,1e-05,0.9434795342158505,0.0034181674175844806
6,5e-05,1e-05,0.887786863187633,0.028125968078892335
6,0.0001,1e-05,0.9275219759760764,0.0024755500988612933
6,0.0005,1e-05,0.9424878470320016,0.005325536368585146
7,5e-05,1e-05,0.8873920088466356,0.008425247149046938
7,0.0001,1e-05,0.9313756577187863,0.0015592901950634813
7,0.0005,1e-05,0.9464781730845512,0.003981900886246075
8,5e-05,1e-05,0.875205824995727,0.008041068354882774
8,0.0001,1e-05,0.921572014921736,0.024104453490554203
8,0.0005,1e-05,0.9479729295275964,0.0011227441954761925
9,5e-05,1e-05,0.8884515024507058,0.029241988298447586
9,0.0001,1e-05,0.9282791375981195,0.012307614810429239
9,0.0005,1e-05,0.9474691297297738,0.001976175122182077
10,5e-05,1e-05,0.8820246422823059,0.016531003353832216
10,0.0001,1e-05,0.9132150934971661,0.013818337573833068
10,0.0005,1e-05,0.9391407873174239,0.004865595572845338
