outer_repeat,best_alpha,accuracy,precision,recall,f1,tp,tn,fp,fn,auc
1,0.001,0.6409410235255881,0.647840706104865,0.6168584292146073,0.631970069700697,12331,13306,6703,7659,0.679465428651154
2,0.001,0.6389159728993224,0.6430007733952049,0.6238619309654827,0.6332867843087469,12471,13085,6924,7519,0.6792398298204522
3,0.001,0.6371409285232131,0.6406410519827409,0.623911955977989,0.6321658472299659,12472,13013,6996,7518,0.676521253279952
4,0.001,0.638615965399135,0.6454970821723358,0.6142071035517759,0.6294634846581733,12278,13266,6743,7712,0.6811561960699523
5,0.001,0.6380659516487912,0.6441005802707931,0.6163581790895448,0.62992407781385,12321,13201,6808,7669,0.6794306319034884
6,0.001,0.6420910522763069,0.6455468910322183,0.629464732366183,0.6374043868091788,12583,13100,6909,7407,0.681963781630932
7,0.001,0.639015975399385,0.6444594805600374,0.6194097048524262,0.6316863505343978,12382,13178,6831,7608,0.6795190988467401
8,0.001,0.6393659841496038,0.6417401049360705,0.6302151075537769,0.6359253930996189,12598,12976,7033,7392,0.6791086507319842
9,0.001,0.6411160279006975,0.6465082419010972,0.6219609804902452,0.6339970933938452,12433,13211,6798,7557,0.6823195620000023
10,0.001,0.642216055401385,0.6455183723671398,0.6301150575287644,0.6377237171860365,12596,13092,6917,7394,0.6814016708989216
