alpha,mean_validation_f1,std_validation_f1,outer_repeat
0.0001,0.9376105426256109,0.000769802972286909,1
0.001,0.9397968936966036,0.001646187166238968,1
0.01,0.9362795082718351,0.00035350658592295047,1
0.0001,0.9363718534479318,0.00029058091833924213,2
0.001,0.9387673969654999,0.0014887974167110038,2
0.01,0.935892415808695,0.0015978122731082818,2
0.0001,0.9371242925921113,0.001941843628054731,3
0.001,0.9395588166518665,0.001371530719793436,3
0.01,0.9372422742499126,0.0019579968163364768,3
0.0001,0.9377283349174279,0.0018555483342987283,4
0.001,0.9401300475756259,0.0007610430617252126,4
0.01,0.9380399026080505,0.00052599804793528,4
0.0001,0.9389502641872857,0.0014662301047263162,5
0.001,0.9404220144613222,0.000518057179794011,5
0.01,0.9367074365666289,0.0010100374304502014,5
0.0001,0.9378844443789331,0.0012705101195276504,6
0.001,0.9419982688329093,0.0008105784390636203,6
0.01,0.938835045541242,0.0004531984796708924,6
0.0001,0.9380379912577985,0.0012992257005117786,7
0.001,0.9400722153863255,0.0005204888822854986,7
0.01,0.9381486071965724,0.0012632324929471239,7
0.0001,0.9369317950658719,0.0017116558903827845,8
0.001,0.9404647046135416,0.00035453888543346976,8
0.01,0.9370151724131839,0.0009812674017261906,8
0.0001,0.9388082730066811,0.0020649307766223307,9
0.001,0.9398032118015965,0.0011560015199792739,9
0.01,0.9376041919974506,0.0006719377273178494,9
0.0001,0.936652867440718,0.0011165921140959027,10
0.001,0.939666839472508,0.0002703506841793384,10
0.01,0.9367950005544579,0.0004077215811803919,10
