outer_repeat,best_C,accuracy,precision,recall,f1,tp,tn,fp,fn,auc
1,1.0,0.7138179703663853,0.7097528795204802,0.7230508803540825,0.7163401698723293,1445438,1409871,591099,553644,0.7876016860525089
2,1.0,0.7137149717053678,0.709615085328488,0.7230368739251316,0.7162631086664313,1445410,1409487,591483,553672,0.7876698242668803
3,1.0,0.7141497160536913,0.7102466448147584,0.7229758459132742,0.7165547180063818,1445288,1411348,589622,553794,0.7879581173308131
4,0.1,0.713615223002101,0.7095863904686134,0.7227687508566432,0.7161169102089507,1444874,1409624,591346,554208,0.7875492993872788
5,0.1,0.7134704748838265,0.7095449629798142,0.7223790719940453,0.7159045024406822,1444095,1409824,591146,554987,0.7873989677084
6,0.1,0.7139214690209027,0.7100599888427143,0.7226561991954307,0.716302722091061,1444649,1411074,589896,554433,0.7877133771025535
7,0.1,0.7135132243280837,0.7096494996151642,0.7222700219400705,0.715904143970473,1443877,1410213,590757,555205,0.7874784261738326
8,1.0,0.7139109691574009,0.7098196904419978,0.7232034503837261,0.7164490714115985,1445743,1409938,591032,553339,0.7878264934391812
9,0.1,0.7136359727323545,0.7097418115502954,0.7224616098789345,0.7160452266750224,1444260,1410321,590649,554822,0.7875763568513503
10,10.0,0.7139162190891518,0.7099884629822896,0.7228117706027066,0.7163427336296283,1444960,1410742,590228,554122,0.7875744693792941
