C,mean_validation_f1,std_validation_f1,outer_repeat
0.1,0.7222885445707258,0.00024023932301338655,1
1.0,0.7222887284907129,0.00023917351592529144,1
10.0,0.7222886538657485,0.00023905220733642636,1
0.1,0.7224736629704706,0.00035481873408134136,2
1.0,0.7224740184300552,0.0003540382742070603,2
10.0,0.7224739440082324,0.0003538574958624556,2
0.1,0.7221603574916488,0.00012688125307420948,3
1.0,0.7221605812647868,0.00012648544452678189,3
10.0,0.7221605067055697,0.00012629051476141195,3
0.1,0.7220732147579546,0.0003034092056242738,4
1.0,0.7220730081168826,0.00030361926695136963,4
10.0,0.7220726866826168,0.00030378942608776376,4
0.1,0.7223517608273152,0.00014971432153384055,5
1.0,0.7223514565302108,0.00015123115903046888,5
10.0,0.7223511926113749,0.0001513131266069878,5
0.1,0.7223563936818295,0.0002631399291136078,6
1.0,0.7223563187656795,0.0002640620948632402,6
10.0,0.72235618678915,0.0002642779840238707,6
0.1,0.7222773489404158,5.87621111062034e-05,7
1.0,0.7222766319649975,6.0012145127399275e-05,7
10.0,0.7222766319463885,6.022111666739342e-05,7
0.1,0.7223105201570216,0.00020499387773918908,8
1.0,0.7223108184782877,0.00020517838363047733,8
10.0,0.7223105546064978,0.00020518257793479858,8
0.1,0.7222905075298408,0.0002169562175067879,9
1.0,0.7222893029138581,0.00021683167882423314,9
10.0,0.7222895094643672,0.00021687990564370362,9
0.1,0.7223128357886939,0.00016073067308755148,10
1.0,0.7223135875899755,0.0001602705040497061,10
10.0,0.7223136622105265,0.0001603788571113979,10
