repeat,best_lr,best_weight_decay,batch_size,best_mean_val_f1,accuracy,precision,recall,f1,auc,tp,tn,fp,fn
1,5e-05,1e-05,1024,0.7367117304433259,0.7131,0.7019139662687133,0.7408,0.7208329278972463,0.790741360000013,3704,3427,1573,1296
2,5e-05,1e-05,1024,0.7330645095676317,0.718,0.6986875683558148,0.7666,0.7310699980926949,0.7878731599999967,3833,3347,1653,1167
3,0.0001,1e-05,1024,0.7391562295983228,0.7201,0.7197045318426831,0.721,0.7203516834848637,0.7960640000000018,3605,3596,1404,1395
4,0.0005,1e-05,1024,0.7344021412139413,0.7109,0.6832319721980886,0.7864,0.7311947931194793,0.7873578000000054,3932,3177,1823,1068
5,5e-05,1e-05,1024,0.7311384809562765,0.7139,0.691016252902304,0.7738,0.7300688744221153,0.788331759999999,3869,3270,1730,1131
6,0.0001,1e-05,1024,0.7356955474741448,0.7168,0.6885873347251218,0.7916,0.7365091179754374,0.7927143199999996,3958,3210,1790,1042
7,0.0001,1e-05,1024,0.7241680965766366,0.7057,0.7282005768804083,0.6564,0.690438624171663,0.7823600000000029,3282,3775,1225,1718
8,0.0001,1e-05,1024,0.7247058626032602,0.7234,0.716221447928765,0.74,0.7279165846940784,0.7958637600000006,3700,3534,1466,1300
9,5e-05,1e-05,1024,0.7266124437380387,0.7164,0.707518220176448,0.7378,0.7223418836890543,0.7894576000000018,3689,3475,1525,1311
10,5e-05,1e-05,1024,0.7363180778263722,0.7141,0.7022482524088419,0.7434,0.7222384144564267,0.783361599999996,3717,3424,1576,1283
