outer_repeat,lr,weight_decay,mean_validation_f1,std_validation_f1
1,5e-05,1e-05,0.7367117304433259,0.008589978172235101
1,0.0001,1e-05,0.7309426135606572,0.008058409029609049
1,0.0005,1e-05,0.7147586587235613,0.014811598638932973
2,5e-05,1e-05,0.7330645095676317,0.006398074814599459
2,0.0001,1e-05,0.7322004353521362,0.00468656440200921
2,0.0005,1e-05,0.7323837992776837,0.011044026183148571
3,5e-05,1e-05,0.7296566532922607,0.012264652769573543
3,0.0001,1e-05,0.7391562295983228,0.005976599434867408
3,0.0005,1e-05,0.7309405247223427,0.0071289104787479315
4,5e-05,1e-05,0.7182910223256246,0.009311097037666851
4,0.0001,1e-05,0.7193708293063604,0.015464685407002637
4,0.0005,1e-05,0.7344021412139413,0.005201937321919812
5,5e-05,1e-05,0.7311384809562765,0.0011891383962834086
5,0.0001,1e-05,0.7227134965075365,0.010416158616340132
5,0.0005,1e-05,0.7208684752553872,0.02636340539450286
6,5e-05,1e-05,0.7265749552809991,0.004419775749732597
6,0.0001,1e-05,0.7356955474741448,0.008415336971185438
6,0.0005,1e-05,0.7321382823065733,0.003847341958782808
7,5e-05,1e-05,0.717598824119862,0.02521661610903458
7,0.0001,1e-05,0.7241680965766366,0.005839917843124184
7,0.0005,1e-05,0.715123014927585,0.01099658989661068
8,5e-05,1e-05,0.7223113384471062,0.004719392561568413
8,0.0001,1e-05,0.7247058626032602,0.004936494194746609
8,0.0005,1e-05,0.7105686071857215,0.011031804318276467
9,5e-05,1e-05,0.7266124437380387,0.0022204795006873566
9,0.0001,1e-05,0.7258959569827033,0.015301414585858415
9,0.0005,1e-05,0.7198254076871852,0.015230912574162748
10,5e-05,1e-05,0.7363180778263722,0.0043690268089879815
10,0.0001,1e-05,0.7281468310633595,0.008714923205661865
10,0.0005,1e-05,0.7274977683501556,0.007707018113003153
