repeat,best_lr,best_weight_decay,batch_size,accuracy,precision,recall,f1,auc,tp,tn,fp,fn
1,5e-05,1e-05,4096,0.71476,0.7044554455445544,0.73996,0.7217713616855247,0.7893428271999694,36998,34478,15522,13002
2,0.0001,1e-05,4096,0.7133,0.7003418867640981,0.74564,0.7222814189123737,0.7864832728000035,37282,34048,15952,12718
3,0.0001,1e-05,4096,0.71565,0.6975214786861822,0.76154,0.7281262847909437,0.7900542107999838,38077,33488,16512,11923
4,5e-05,1e-05,4096,0.7164,0.7057816660327121,0.7422,0.7235328524078768,0.7909477636000023,37110,34530,15470,12890
5,5e-05,1e-05,4096,0.71576,0.7035164503471174,0.74584,0.7240602671637154,0.7907997335999756,37292,34284,15716,12708
6,0.0001,1e-05,4096,0.71533,0.7107648337020144,0.72616,0.7183799451935537,0.7891390692000171,36308,35225,14775,13692
7,0.0001,1e-05,4096,0.71261,0.701239943208708,0.74086,0.7205057135910528,0.7884884715999888,37043,34218,15782,12957
8,5e-05,1e-05,4096,0.71673,0.7054507536259361,0.74418,0.7242980193683392,0.7903868415999937,37209,34464,15536,12791
9,5e-05,1e-05,4096,0.71574,0.6964773596590288,0.76476,0.7290232788698023,0.7913191040000068,38238,33336,16664,11762
10,5e-05,1e-05,4096,0.71471,0.7053187216707786,0.73758,0.7210887013990047,0.7895147531999774,36879,34592,15408,13121
