outer_repeat,best_alpha,accuracy,precision,recall,f1,tp,tn,fp,fn,auc
1,1e-05,0.7136177229696014,0.7072478899777586,0.7285238924666422,0.7177282518649425,1456379,1398129,602841,542703,0.7871247372998248
2,0.001,0.7140032179581666,0.708036108770079,0.7278850992605606,0.7178234159783691,1455102,1400948,600022,543980,0.7876598420774343
3,0.001,0.7143947128687327,0.7082975085395934,0.7285719145087595,0.7182916743313705,1456475,1401141,599829,542607,0.7879440565335609
4,0.0001,0.7138514699308909,0.705940479995064,0.7325952612249023,0.7190209259766132,1464518,1390925,610045,534564,0.7874408874496074
5,0.001,0.7137462212991231,0.7080936179088011,0.726868132472805,0.7173580557508353,1453069,1401953,599017,546013,0.7873940671324258
6,0.001,0.7140327175746716,0.7083360942640203,0.7272453055952682,0.7176661656213826,1453823,1402345,598625,545259,0.7876760485771799
7,1e-05,0.7133342266550535,0.7097021475918316,0.721536185108965,0.7155702421283602,1442410,1410964,590006,556672,0.7870137048065531
8,0.001,0.7140214677209197,0.7073300234350112,0.7296979313504899,0.7183398947303886,1458726,1397397,603573,540356,0.7877570821059554
9,1e-05,0.7122589906331218,0.7094204548316666,0.7185758263042736,0.7139687914625458,1436492,1412581,588389,562590,0.7861068380187234
10,0.001,0.7141402161771897,0.7086054998273867,0.7269476689800618,0.7176594047768963,1453228,1403370,597600,545854,0.7875255470656674
