alpha,mean_validation_f1,std_validation_f1,outer_repeat
1e-05,0.725449800550804,0.0010689280404067797,1
0.0001,0.7241437241682288,0.0004978175474742984,1
0.001,0.724218026090384,0.00027279000350398136,1
1e-05,0.7210577691809613,0.0005295873295589481,2
0.0001,0.7229975696015627,0.0005058800790409422,2
0.001,0.7237335156491879,0.00022396427447930308,2
1e-05,0.7229790307214472,0.0023923915145497537,3
0.0001,0.7233968450562968,0.0007079942247180371,3
0.001,0.7238227286117506,0.0002656404022535973,3
1e-05,0.722700078868255,0.002239903010908954,4
0.0001,0.724397290744872,0.00023406031159678263,4
0.001,0.7242689486909007,0.00036461756306793616,4
1e-05,0.7229692258126384,0.0010382640610219825,5
0.0001,0.7243773443569091,0.0003889814299887193,5
0.001,0.7244675618733397,8.611930400476007e-05,5
1e-05,0.7197880074124123,0.0014079622357495722,6
0.0001,0.7234349473060874,0.0007596966709813657,6
0.001,0.7237522606794409,0.0002673486135229938,6
1e-05,0.7245232863741183,0.002513444467583739,7
0.0001,0.7240485028966831,0.0007218765694416139,7
0.001,0.7242193580936199,0.0002535289310369387,7
1e-05,0.7227353155736095,0.0009125174380746716,8
0.0001,0.72321029409409,0.0008153709059184778,8
0.001,0.7241193982510206,0.00039464356517900084,8
1e-05,0.7264633665779677,0.0007604849682227326,9
0.0001,0.7232227725696593,0.0011013228749585863,9
0.001,0.7240676182202882,0.001118069051976169,9
1e-05,0.7199022292196952,0.000441174324715435,10
0.0001,0.7236560905583644,0.0009331904700106379,10
0.001,0.7238493746032665,0.0002929862770416505,10
